op_unique_carrier,op_carrier_fl_num,arr_delay
OO,4749,0
UA,1648,0
DL,2214,0
F9,1907,0
B6,1088,0
EV,5299,0
YX,6095,0
QX,2923,0
B6,2919,0
WN,872,0
QX,2935,0
9E,4768,0
QX,2750,0
F9,1252,0
WN,2719,0
B6,2823,0
UA,751,0
OO,5196,0
F9,1296,0
UA,492,0
YV,6197,0
AA,67,0
OO,4589,0
9E,4172,0
UA,773,0
QX,2771,0
9E,4177,0
UA,2080,0
9E,4163,0
9E,4840,0
OO,4613,0
WN,6430,0
WN,5813,0
9E,4751,0
YV,6154,0
QX,2451,0
OO,4023,0
9E,5553,0
UA,1208,0
YX,4773,0
DL,2833,0
AS,798,0
B6,725,0
UA,561,0
DL,1592,0
UA,394,0
B6,2827,0
NK,1942,0
WN,6552,0
WN,545,0
WN,3564,0
WN,4717,0
QX,2933,0
OO,4686,0
9E,4113,0
AS,1055,0
QX,2919,0
UA,543,0
AS,313,0
DL,1208,0
9E,4806,0
WN,2026,0
YX,5959,0
NK,1939,0
YX,4766,0
UA,341,0
WN,6078,0
UA,2330,0
AX,4679,0
OO,5644,0
UA,1461,0
QX,2654,0
B6,229,0
UA,357,0
WN,3598,0
WN,6886,0
AS,958,0
G7,6260,0
WN,6667,0
UA,542,0
B6,2218,0
WN,3871,0
B6,73,0
G7,4241,0
WN,6501,0
WN,5279,0
9E,4872,0
WN,1622,0
G4,6929,0
WN,767,0
AS,931,0
YX,4362,0
UA,2230,0
DL,1737,0
9E,4153,0
WN,5823,0
OO,5044,0
QX,2931,0
WN,6524,0
WN,961,0
9E,4114,0
UA,548,0
YX,5921,0
AX,4647,0
UA,1562,0
WN,5516,0
9E,4833,0
OO,4718,0
B6,2083,0
YX,4107,0
WN,5094,0
WN,3759,0
NK,1940,0
AS,859,0
9E,4862,0
DL,1543,0
VX,1128,0
QX,2901,0
WN,4861,0
9E,4792,0
UA,1438,0
MQ,4211,0
YX,6070,0
AS,358,0
AX,4609,0
OO,1354,0
9E,4773,0
WN,1120,0
UA,813,0
YX,5916,0
9E,4883,0
UA,406,0
WN,6578,0
WN,5879,0
QX,2727,0
UA,631,0
YX,5908,0
DL,1703,0
OO,5585,0
WN,279,0
WN,292,0
AS,562,0
WN,2029,0
WN,6669,0
WN,6264,0
B6,1101,0
WN,5866,0
WN,920,0
UA,2437,0
WN,6233,0
YX,3453,0
YX,5988,0
AA,931,0
EV,4200,0
9E,3863,0
YX,6010,0
ZW,3800,0
9E,4165,0
EV,4116,0
AA,2468,0
WN,6844,0
OO,3480,0
WN,6435,0
WN,1160,0
AS,449,0
