,airport,date,precip,snow,snowdepth,windgust,cloudcover,icon
0,ATL,2018-01-01,0.0,0.0,0.0,40.7,74.3,partly-cloudy-day
1,ATL,2018-01-02,0.0,0.0,0.0,,29.6,partly-cloudy-day
2,ATL,2018-01-03,0.0,0.0,0.0,29.5,67.1,partly-cloudy-day
3,ATL,2018-01-04,0.0,0.0,0.0,51.8,6.9,wind
4,ATL,2018-01-05,0.0,0.0,0.0,37.1,28.0,partly-cloudy-day
5,ATL,2018-01-06,0.0,0.0,0.0,33.5,31.6,partly-cloudy-day
6,ATL,2018-01-07,0.0,0.0,0.0,27.7,63.8,partly-cloudy-day
7,ATL,2018-01-08,6.7,0.0,0.0,,97.1,rain
8,ATL,2018-01-09,0.0,0.0,0.0,,69.2,partly-cloudy-day
9,ATL,2018-01-10,0.0,0.0,0.0,35.3,94.1,cloudy
10,ATL,2018-01-11,1.66,0.0,0.0,,93.0,rain
11,ATL,2018-01-12,11.84,0.0,0.0,55.6,89.3,rain
12,ATL,2018-01-13,0.0,0.0,0.0,62.3,59.6,wind
13,ATL,2018-01-14,0.0,0.0,0.0,46.4,32.3,wind
14,ATL,2018-01-15,0.0,0.0,0.0,,31.8,partly-cloudy-day
15,ATL,2018-01-16,0.3,3.13,3.12,35.3,69.4,snow
16,ATL,2018-01-17,3.67,1.74,5.0,55.6,40.0,snow
17,ATL,2018-01-18,0.0,0.0,5.0,27.7,0.0,clear-day
18,ATL,2018-01-19,0.0,0.0,3.7,,16.1,clear-day
19,ATL,2018-01-20,0.0,0.0,1.04,31.7,33.3,partly-cloudy-day
20,ATL,2018-01-21,0.0,0.0,0.0,,30.0,partly-cloudy-day
21,ATL,2018-01-22,20.73,0.0,0.0,51.8,99.6,rain
22,ATL,2018-01-23,0.0,0.0,0.0,49.6,65.7,wind
23,ATL,2018-01-24,0.0,0.0,0.0,46.4,39.9,partly-cloudy-day
24,ATL,2018-01-25,0.0,0.0,0.0,,28.4,partly-cloudy-day
25,ATL,2018-01-26,0.0,0.0,0.0,31.7,84.4,cloudy
26,ATL,2018-01-27,1.53,0.0,0.0,,98.8,rain
27,ATL,2018-01-28,31.95,0.0,0.0,,95.3,rain
28,ATL,2018-01-29,0.6,0.0,0.0,55.2,53.1,rain
29,ATL,2018-01-30,0.0,0.0,0.0,51.7,41.5,wind
30,ATL,2018-01-31,0.0,0.0,0.0,31.7,42.3,partly-cloudy-day
31,ATL,2018-02-01,0.0,0.0,0.0,44.5,82.6,cloudy
32,ATL,2018-02-02,2.3,0.0,0.0,54.6,69.6,rain
33,ATL,2018-02-03,0.0,0.0,0.0,27.7,92.3,cloudy
34,ATL,2018-02-04,36.19,0.0,0.0,31.7,99.5,rain
35,ATL,2018-02-05,0.0,0.0,0.0,35.3,20.3,clear-day
36,ATL,2018-02-06,0.0,0.0,0.0,,75.9,cloudy
37,ATL,2018-02-07,41.19,0.0,0.0,50.0,97.7,rain
38,ATL,2018-02-08,0.0,0.0,0.0,31.7,52.4,wind
39,ATL,2018-02-09,4.03,0.0,0.0,33.5,74.7,rain
40,ATL,2018-02-10,15.83,0.0,0.0,35.3,79.1,rain
41,ATL,2018-02-11,19.23,0.0,0.0,38.9,100.0,rain
42,ATL,2018-02-12,1.39,0.0,0.0,,99.8,rain
43,ATL,2018-02-13,0.3,0.0,0.0,35.3,98.7,rain
44,ATL,2018-02-14,0.0,0.0,0.0,,99.6,cloudy
45,ATL,2018-02-15,0.56,0.0,0.0,31.7,95.4,rain
46,ATL,2018-02-16,0.5,0.0,0.0,48.0,86.8,rain
47,ATL,2018-02-17,0.5,0.0,0.0,49.2,92.5,rain
48,ATL,2018-02-18,0.82,0.0,0.0,25.9,80.1,rain
49,ATL,2018-02-19,0.3,0.0,0.0,33.5,89.9,rain
50,ATL,2018-02-20,0.0,0.0,0.0,,83.7,cloudy
51,ATL,2018-02-21,1.3,0.0,0.0,,79.9,rain
52,ATL,2018-02-22,0.0,0.0,0.0,,54.8,partly-cloudy-day
53,ATL,2018-02-23,0.0,0.0,0.0,,44.2,partly-cloudy-day
54,ATL,2018-02-24,0.0,0.0,0.0,46.4,77.4,wind
55,ATL,2018-02-25,7.76,0.0,0.0,48.9,86.3,rain
56,ATL,2018-02-26,13.09,0.0,0.0,37.1,81.6,rain
57,ATL,2018-02-27,0.0,0.0,0.0,33.5,28.9,partly-cloudy-day
58,ATL,2018-02-28,7.52,0.0,0.0,,99.4,rain
59,ATL,2018-03-01,4.55,0.0,0.0,53.3,93.0,rain
60,ATL,2018-03-02,0.0,0.0,0.0,51.0,16.5,wind
61,ATL,2018-03-03,0.0,0.0,0.0,42.5,1.1,wind
62,ATL,2018-03-04,0.0,0.0,0.0,,21.1,clear-day
63,ATL,2018-03-05,0.0,0.0,0.0,,82.2,cloudy
64,ATL,2018-03-06,16.0,0.0,0.0,,81.6,rain
65,ATL,2018-03-07,0.0,0.0,0.0,57.4,27.2,wind
66,ATL,2018-03-08,0.0,0.0,0.0,48.7,33.3,wind
67,ATL,2018-03-09,0.0,0.0,0.0,31.7,42.9,partly-cloudy-day
68,ATL,2018-03-10,0.0,0.0,0.0,,79.1,cloudy
69,ATL,2018-03-11,24.74,0.0,0.0,,100.0,rain
70,ATL,2018-03-12,3.36,0.0,0.0,72.1,71.5,rain
71,ATL,2018-03-13,0.0,0.0,0.0,46.5,32.0,wind
72,ATL,2018-03-14,0.0,0.0,0.0,47.6,2.3,wind
73,ATL,2018-03-15,0.0,0.0,0.0,44.3,9.2,clear-day
74,ATL,2018-03-16,0.0,0.0,0.0,38.9,61.5,partly-cloudy-day
75,ATL,2018-03-17,0.33,0.0,0.0,38.9,91.4,rain
76,ATL,2018-03-18,0.0,0.0,0.0,29.5,80.5,cloudy
77,ATL,2018-03-19,3.61,0.0,0.0,42.5,100.0,rain
78,ATL,2018-03-20,24.55,0.0,0.0,53.6,79.1,rain
79,ATL,2018-03-21,0.0,0.0,0.0,67.3,71.0,wind
80,ATL,2018-03-22,0.0,0.0,0.0,51.7,3.4,wind
81,ATL,2018-03-23,0.0,0.0,0.0,35.3,60.5,partly-cloudy-day
82,ATL,2018-03-24,0.0,0.0,0.0,40.7,94.1,cloudy
83,ATL,2018-03-25,9.82,0.0,0.0,37.1,100.0,rain
84,ATL,2018-03-26,0.0,0.0,0.0,41.6,100.0,wind
85,ATL,2018-03-27,0.0,0.0,0.0,33.5,96.8,cloudy
86,ATL,2018-03-28,0.0,0.0,0.0,42.5,79.7,cloudy
