,lat_long
ABE,"40.652099609375, -75.44080352783203"
ABI,"32.4113006592, -99.68190002440001"
ABQ,"35.040199, -106.609001"
ABR,"45.449100494384766, -98.42179870605469"
ABY,"31.535499572753906, -84.19450378417969"
ACK,"41.25310135, -70.06020355"
ACT,"31.611299514770508, -97.23049926757812"
ACV,"40.978101, -124.109"
ACY,"39.45759963989258, -74.57720184326172"
ADK,"51.87799835205078, -176.64599609375"
ADQ,"57.75, -152.4940033"
AEX,"31.32740020751953, -92.54979705810547"
AGS,"33.36989974975586, -81.9645004272461"
ALB,"42.74829864501953, -73.80169677734375"
ALO,"42.557098388671875, -92.40029907226562"
ALW,"46.09489822, -118.288002"
AMA,"35.219398, -101.706001"
ANC,"61.174400329589844, -149.99600219726562"
APN,"45.0780983, -83.56030273"
ART,"43.99190139770508, -76.02169799804688"
ASE,"39.22320175, -106.8690033"
ATL,"33.6367, -84.428101"
ATW,"44.258098602299995, -88.5190963745"
AUS,"30.194499969482422, -97.6698989868164"
AVL,"35.436199, -82.541801"
AVP,"41.338500976599995, -75.72339630130001"
AZA,"33.30780029, -111.6549988"
AZO,"42.234901428222656, -85.5521011352539"
BDL,"41.9388999939, -72.68319702149999"
BET,"60.77980042, -161.8379974"
BFL,"35.43360138, -119.0569992"
BFM,"30.626800537100003, -88.06809997559999"
BGM,"42.20869827, -75.97979736"
BGR,"44.80739974975586, -68.8281021118164"
BHM,"33.56290054, -86.75350189"
BIL,"45.807701110839844, -108.54299926757812"
BIS,"46.772701263427734, -100.74600219726562"
BJI,"47.50939941, -94.93370056"
BLI,"48.79280090332031, -122.53800201416016"
BLV,"38.5452, -89.835197"
BMI,"40.47710037, -88.91590118"
BNA,"36.1245002746582, -86.6781997680664"
BOI,"43.5644, -116.223"
BOS,"42.36429977, -71.00520325"
BPT,"29.9507999420166, -94.02069854736328"
BQK,"31.258800506591797, -81.46649932861328"
BQN,
BRO,"25.90679931640625, -97.4259033203125"
BRW,"71.285402, -156.766008"
BTM,"45.95479965209961, -112.49700164794922"
BTR,"30.533199, -91.149597"
BTV,"44.471900939899996, -73.15329742429999"
BUF,"42.94049835, -78.73220062"
BUR,"34.20069885253906, -118.35900115966797"
BWI,"39.1754, -76.668297"
BZN,"45.77750015, -111.1529999"
CAE,"33.93880081176758, -81.11949920654297"
CAK,"40.916099548339844, -81.44219970703125"
CDC,"37.70100021362305, -113.0989990234375"
CDV,"60.4917984, -145.4779968"
CGI,"37.22529983520508, -89.57080078125"
CHA,"35.035301208496094, -85.20379638671875"
CHO,"38.13859939575195, -78.4529037475586"
CHS,"32.89860153, -80.04049683"
CID,"41.884700775146484, -91.71080017089844"
CIU,"46.25080108642578, -84.47239685058594"
CKB,"39.2966003418, -80.2281036377"
CLE,"41.4117012024, -81.8498001099"
CLL,"30.58860016, -96.36380005"
CLT,"35.2140007019043, -80.94309997558594"
CMH,"39.998001, -82.891899"
CMI,"40.03919983, -88.27809906"
CMX,"47.168399810791016, -88.48909759521484"
COD,"44.520198822, -109.024002075"
COS,"38.805801, -104.700996"
COU,"38.8181, -92.219597"
CPR,"42.908001, -106.463997"
CRP,"27.77039909362793, -97.5011978149414"
CRW,"38.37310028076172, -81.59320068359375"
CSG,"32.516300201416016, -84.93890380859375"
CVG,"39.048801, -84.667801"
CWA,"44.7775993347, -89.6668014526"
DAB,"29.179899, -81.058098"
DAL,"32.847099, -96.851799"
DAY,"39.902400970458984, -84.21939849853516"
DBQ,"42.40200043, -90.70950317"
DCA,"38.8521, -77.037697"
DEN,"39.861698150635, -104.672996521"
DFW,"32.896801, -97.038002"
DHN,"31.321300506591797, -85.44960021972656"
DIK,"46.7974014282, -102.802001953"
DLH,"46.8420982361, -92.19360351559999"
DRO,"37.1515007019, -107.753997803"
DSM,"41.534000396728516, -93.66310119628906"
DTW,"42.212398529052734, -83.35340118408203"
DUT,"53.900100708, -166.544006348"
EAR,"40.72700119, -99.00679779"
EAT,"47.3988990784, -120.207000732"
EAU,"44.86579895019531, -91.48429870605469"
ECP,"30.357106, -85.795414"
EGE,"39.64260101, -106.9179993"
EKO,"40.82490158081055, -115.79199981689453"
ELM,"42.1599006652832, -76.8916015625"
ELP,"31.80719948, -106.3779984"
ERI,"42.0831270134, -80.1738667488"
ESC,"45.7226982117, -87.0936965942"
EUG,"44.12459945678711, -123.21199798583984"
EVV,"38.0369987488, -87.5324020386"
EWN,"35.0730018616, -77.04290008539999"
EWR,"40.692501068115234, -74.168701171875"
EYW,"24.556100845336914, -81.75959777832031"
FAI,"64.81510162, -147.8560028"
FAR,"46.92070007324219, -96.81580352783203"
FAT,"36.776199, -119.718002"
FAY,"34.9911994934082, -78.88030242919922"
FCA,"48.31050109863281, -114.25599670410156"
FLG,"35.13850021, -111.6709976"
FLL,"26.072599, -80.152702"
FLO,"34.18539810180664, -79.7238998413086"
FNT,"42.96540069580078, -83.74359893798828"
FSD,"43.582000732400004, -96.741897583"
FSM,"35.33660125732422, -94.36740112304688"
FWA,"40.97850037, -85.19509888"
GCC,"44.348899841299996, -105.539001465"
GCK,"37.9275016785, -100.723999023"
GEG,"47.61989974975586, -117.53399658203125"
GFK,"47.949299, -97.176102"
GGG,"32.38399887084961, -94.71150207519531"
GJT,"39.1223983765, -108.527000427"
GNV,"29.6900997162, -82.2717971802"
GPT,"30.40730094909668, -89.07009887695312"
GRB,"44.48509979248047, -88.12960052490234"
GRI,"40.967498779296875, -98.30960083007812"
GRK,"31.067199707, -97.82890319820001"
GRR,"42.88079834, -85.52279663"
GSO,"36.097801208496094, -79.93730163574219"
GSP,"34.8956985474, -82.2189025879"
GTF,"47.48199844, -111.3710022"
GUC,"38.53390121, -106.9329987"
GUM,
HDN,"40.48120117, -107.2180023"
HGR,"39.707901, -77.72949982"
HHH,"32.2243995667, -80.6975021362"
HIB,"47.38660049, -92.83899689"
HLN,"46.6068000793457, -111.98300170898438"
