fl_date,origin,precip,snow,windgust,cloudcover
2019-01-31,ABE,0.0,0.0,35.3,0.0
2020-01-01,ABE,0.0,0.0,45.6,65.4
2020-01-02,ABE,0.0,0.0,,20.2
2020-01-03,ABE,2.81,0.0,,90.4
2020-01-04,ABE,4.6,0.0,33.5,72.1
2020-01-05,ABE,0.0,1.88,51.3,96.2
2020-01-06,ABE,1.14,1.04,38.9,49.3
2020-01-01,ABI,0.0,0.0,51.8,9.2
2020-01-02,ABI,0.0,0.0,53.6,24.2
2020-01-03,ABI,0.0,0.0,42.5,51.6
2020-01-04,ABI,0.0,0.0,25.9,0.0
2020-01-05,ABI,0.0,0.0,44.6,0.0
2020-01-06,ABI,0.0,0.0,40.7,0.0
2018-05-05,ABQ,0.0,0.0,29.5,14.2
2018-07-03,ABQ,0.0,0.0,61.2,75.2
2018-10-01,ABQ,0.0,0.0,40.7,87.9
2018-12-21,ABQ,0.0,0.0,42.5,75.9
2019-01-20,ABQ,0.0,0.0,,88.7
2019-09-02,ABQ,0.0,0.0,50.0,39.1
2019-10-14,ABQ,0.0,0.0,50.0,31.4
2019-12-10,ABQ,0.0,0.0,,6.8
2019-12-15,ABQ,0.0,0.0,53.6,37.9
2020-01-01,ABQ,0.0,0.0,45.2,33.6
2020-01-02,ABQ,0.0,0.0,48.1,71.2
2020-01-03,ABQ,0.0,0.0,37.1,21.8
2020-01-04,ABQ,0.0,0.0,42.5,42.1
2020-01-05,ABQ,0.0,0.0,46.4,38.5
2020-01-06,ABQ,0.0,0.0,53.4,0.0
2020-01-01,ABR,0.0,0.0,,60.5
2020-01-02,ABR,1.1,0.86,,90.7
2020-01-03,ABR,1.59,2.16,59.4,50.1
2020-01-04,ABR,0.0,0.93,,17.8
2020-01-05,ABR,0.0,0.0,83.5,11.7
2020-01-06,ABR,0.0,0.0,54.2,6.9
2020-01-01,ABY,0.0,0.0,,4.2
2020-01-02,ABY,3.4,0.0,40.7,86.2
2020-01-03,ABY,32.5,0.0,57.2,95.8
2020-01-04,ABY,3.0,0.0,50.0,66.2
2020-01-05,ABY,0.0,0.0,,0.0
2020-01-06,ABY,0.0,0.0,,0.0
2019-07-30,ACK,0.0,0.0,,30.8
2018-06-20,ACT,2.1,0.0,,63.3
2019-07-25,ACT,0.0,0.0,31.7,0.0
2019-12-31,ACT,0.0,0.0,,0.0
2020-01-01,ACT,0.0,0.0,33.5,94.8
2020-01-02,ACT,0.01,0.0,,23.7
2020-01-03,ACT,0.0,0.0,46.4,17.5
2020-01-04,ACT,0.0,0.0,27.7,0.0
2020-01-05,ACT,0.0,0.0,35.3,0.0
2020-01-06,ACT,0.0,0.0,,0.0
2019-06-21,ACV,0.0,0.0,53.6,0.0
2020-01-01,ACV,15.7,0.0,25.9,55.4
2020-01-02,ACV,0.0,0.0,,65.4
2020-01-03,ACV,0.0,0.0,51.8,5.4
2020-01-04,ACV,16.6,0.0,38.9,52.9
2020-01-05,ACV,2.6,0.0,,65.0
2020-01-06,ACV,0.0,0.0,,2.1
2019-02-13,ACY,3.08,0.0,73.9,45.6
2019-08-07,ACY,6.21,0.0,57.1,21.9
2020-01-01,ACY,0.0,0.0,37.2,48.8
2020-01-02,ACY,0.0,0.0,40.7,2.1
2020-01-03,ACY,5.43,0.0,35.3,93.8
2020-01-04,ACY,5.33,0.0,42.5,84.1
2020-01-05,ACY,0.53,0.0,68.6,60.8
2020-01-06,ACY,0.0,0.0,46.4,59.9
2020-01-01,ADK,0.0,0.0,46.4,49.8
2020-01-02,ADK,0.0,0.0,27.7,60.1
2020-01-03,ADK,0.0,0.0,14.8,68.7
2020-01-04,ADK,2.59,0.0,35.3,75.6
2020-01-05,ADK,0.0,0.0,20.5,78.6
2020-01-06,ADK,6.92,0.0,58.9,77.8
2020-01-01,ADQ,0.0,4.17,59.2,84.2
2020-01-02,ADQ,0.0,11.25,29.6,48.4
2020-01-03,ADQ,6.8,8.14,57.3,64.3
2020-01-04,ADQ,0.5,2.29,50.0,40.8
2020-01-05,ADQ,2.57,0.7,24.1,43.9
2020-01-06,ADQ,0.0,0.0,31.7,17.6
2018-06-28,AEX,0.0,0.0,27.7,10.0
2018-08-28,AEX,13.51,0.0,53.6,20.4
2020-01-01,AEX,1.5,0.0,,45.3
2020-01-02,AEX,39.19,0.0,,75.1
2020-01-03,AEX,6.57,0.0,,74.0
2020-01-04,AEX,0.0,0.0,35.3,3.1
2020-01-05,AEX,0.0,0.0,,0.0
2020-01-06,AEX,0.0,0.0,42.5,8.5
2019-06-03,AGS,0.0,0.0,33.5,10.2
2020-01-01,AGS,0.0,0.0,35.3,0.0
2020-01-02,AGS,1.3,0.0,,59.2
2020-01-03,AGS,6.69,0.0,59.0,90.4
2020-01-04,AGS,22.49,0.0,62.4,68.4
2020-01-05,AGS,0.0,0.0,42.4,0.0
2020-01-06,AGS,0.0,0.0,29.5,0.0
2018-03-19,ALB,0.0,0.0,33.5,28.0
2018-06-12,ALB,0.0,0.0,42.5,45.0
2018-11-01,ALB,5.8,0.0,29.5,100.0
2018-11-27,ALB,11.23,1.04,55.9,100.0
2019-12-12,ALB,0.0,0.0,35.8,51.5
2020-01-01,ALB,0.0,0.0,51.8,82.6
2020-01-02,ALB,0.0,0.0,,68.0
2020-01-03,ALB,0.0,0.0,,82.0
2020-01-04,ALB,8.4,0.0,25.9,91.1
2020-01-05,ALB,0.0,1.88,59.2,69.7
2020-01-06,ALB,0.5,1.04,41.4,75.5
2020-01-01,ALO,0.0,0.0,42.5,7.9
2020-01-02,ALO,0.0,0.0,25.9,63.7
2020-01-03,ALO,3.59,2.79,,85.9
2020-01-04,ALO,0.3,1.04,47.9,87.0
2020-01-05,ALO,0.0,0.01,75.6,6.1
2020-01-06,ALO,0.0,0.0,,47.8
2020-01-01,ALW,3.6,9.38,72.2,51.5
2020-01-02,ALW,3.9,0.0,53.6,66.9
2020-01-03,ALW,0.0,0.0,66.6,32.4
2020-01-04,ALW,0.0,1.25,72.0,35.3
2020-01-05,ALW,1.6,10.7,53.6,63.2
2020-01-06,ALW,2.2,0.0,50.0,99.9
2018-09-21,AMA,6.47,0.0,58.2,80.4
2020-01-01,AMA,0.0,0.0,60.8,0.0
2020-01-02,AMA,0.0,0.0,50.0,78.2
2020-01-03,AMA,0.0,0.0,,13.6
2020-01-04,AMA,0.0,0.0,47.9,0.0
2020-01-05,AMA,0.0,0.0,46.4,0.0
2020-01-06,AMA,0.0,0.0,52.2,0.0
2018-05-22,ANC,0.34,0.0,50.0,62.9
2018-06-24,ANC,0.41,0.0,,91.4
2018-12-04,ANC,0.0,0.0,,62.5
2019-04-03,ANC,0.0,0.0,47.9,11.6
2019-07-17,ANC,0.0,0.0,31.7,26.4
2019-08-10,ANC,0.0,0.0,,19.0
2019-09-07,ANC,12.15,0.0,,56.3
2019-12-20,ANC,0.0,0.0,,16.6
2020-01-01,ANC,6.89,5.49,40.7,72.5
2020-01-02,ANC,0.18,0.0,,69.5
2020-01-03,ANC,0.0,0.0,,23.5
2020-01-04,ANC,0.0,0.0,,36.5
2020-01-05,ANC,0.0,0.0,,55.1
2020-01-06,ANC,0.0,0.0,,45.2
2020-01-01,APN,0.3,0.02,37.0,46.3
2020-01-02,APN,0.0,0.0,36.9,82.0
2020-01-03,APN,0.0,0.01,27.7,98.9
2020-01-04,APN,0.5,0.02,31.7,94.5
2020-01-05,APN,5.9,3.11,31.7,85.7
2020-01-06,APN,0.5,1.72,64.7,66.7
2020-01-01,ART,0.3,5.32,60.9,92.5
2020-01-02,ART,0.0,0.36,42.5,50.1
2020-01-03,ART,0.0,9.85,33.5,99.9
2020-01-04,ART,1.6,8.94,,93.6
2020-01-05,ART,0.0,1.11,40.7,76.5
2020-01-06,ART,0.3,0.84,61.7,92.8
2019-01-13,ASE,0.0,0.15,,0.0
2019-02-12,ASE,0.0,0.24,38.9,12.0
2019-03-23,ASE,0.0,1.58,46.2,77.9
2019-04-29,ASE,15.89,2.19,50.0,68.2
2020-01-01,ASE,3.17,7.19,51.8,81.9
2020-01-02,ASE,3.76,4.0,,62.8
2020-01-03,ASE,0.0,0.0,46.4,64.8
2020-01-04,ASE,0.0,0.0,51.8,0.0
2020-01-05,ASE,0.0,0.0,63.9,21.6
