,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,crs_arr_time,dup,crs_elapsed_time,flights,distance
0,2020-01-15,AS,AS_CODESHARE,AS,2879,QX,N638QX,2879,14057,PDX,"Portland, OR",14004,PAE,"Everett, WA",1055,1148,N,53,1,161
1,2020-01-14,AA,AA,AA,639,AA,N186US,639,14679,SAN,"San Diego, CA",11057,CLT,"Charlotte, NC",1150,1925,N,275,1,2077
2,2020-01-07,WN,WN,WN,1904,WN,N408WN,1904,14893,SMF,"Sacramento, CA",10800,BUR,"Burbank, CA",2040,2150,N,70,1,358
3,2020-01-20,WN,WN,WN,2112,WN,N7882B,2112,14107,PHX,"Phoenix, AZ",12191,HOU,"Houston, TX",2025,2350,N,145,1,1020
4,2020-01-17,DL,DL_CODESHARE,DL,5986,YX,N214JQ,5986,14524,RIC,"Richmond, VA",10721,BOS,"Boston, MA",629,816,N,107,1,474
5,2020-01-20,UA,UA,UA,2315,UA,N76505,2315,13930,ORD,"Chicago, IL",14869,SLC,"Salt Lake City, UT",857,1139,N,222,1,1250
6,2020-01-09,AA,AA,AA,2889,AA,N818NN,2889,13303,MIA,"Miami, FL",14107,PHX,"Phoenix, AZ",1945,2305,N,320,1,1972
7,2020-01-03,B6,B6,B6,54,B6,N975JT,54,14027,PBI,"West Palm Beach/Palm Beach, FL",12478,JFK,"New York, NY",800,1040,N,160,1,1028
8,2020-01-08,UA,UA_CODESHARE,UA,5657,OO,N947SW,5657,14698,SBP,"San Luis Obispo, CA",14771,SFO,"San Francisco, CA",1155,1314,N,79,1,190
9,2020-01-10,WN,WN,WN,6565,WN,N225WN,6565,14679,SAN,"San Diego, CA",14893,SMF,"Sacramento, CA",1945,2120,N,95,1,480
10,2020-01-09,DL,DL,DL,2747,DL,N117DU,2747,14869,SLC,"Salt Lake City, UT",14908,SNA,"Santa Ana, CA",1700,1754,N,114,1,588
11,2020-01-22,AA,AA_CODESHARE,AA,3438,MQ,N244NN,3438,11298,DFW,"Dallas/Fort Worth, TX",10713,BOI,"Boise, ID",1858,2135,N,217,1,1272
12,2020-01-09,B6,B6,B6,280,B6,N706JB,280,12954,LGB,"Long Beach, CA",12889,LAS,"Las Vegas, NV",1549,1657,N,68,1,231
13,2020-01-09,G4,G4,G4,2344,G4,321NV,2344,14761,SFB,"Sanford, FL",14576,ROC,"Rochester, NY",1401,1639,N,158,1,1009
14,2020-01-30,DL,DL_CODESHARE,DL,4249,OO,N914EV,4249,14113,PIH,"Pocatello, ID",14869,SLC,"Salt Lake City, UT",1241,1341,N,60,1,150
15,2020-01-09,UA,UA_CODESHARE,UA,5913,OO,N200SY,5913,14869,SLC,"Salt Lake City, UT",11292,DEN,"Denver, CO",830,1008,N,98,1,391
16,2020-01-10,UA,UA,UA,1782,UA,N35271,1782,10713,BOI,"Boise, ID",11292,DEN,"Denver, CO",750,951,N,121,1,649
17,2020-01-27,AS,AS,AS,645,AS,N293AK,645,14683,SAT,"San Antonio, TX",14747,SEA,"Seattle, WA",625,900,N,275,1,1774
18,2020-01-09,B6,B6,B6,1234,B6,N508JL,1234,14843,SJU,"San Juan, PR",13204,MCO,"Orlando, FL",2251,46,N,175,1,1189
19,2020-01-04,AA,AA,AA,969,AA,N946AN,969,12478,JFK,"New York, NY",12889,LAS,"Las Vegas, NV",800,1105,N,365,1,2248
20,2020-01-22,UA,UA,UA,456,UA,N809UA,456,10423,AUS,"Austin, TX",11292,DEN,"Denver, CO",1127,1245,N,138,1,775
21,2020-01-20,AA,AA,AA,1622,AA,N975AN,1622,11292,DEN,"Denver, CO",11298,DFW,"Dallas/Fort Worth, TX",1047,1345,N,118,1,641
22,2020-01-24,UA,UA,UA,2028,UA,N66808,2028,11292,DEN,"Denver, CO",12266,IAH,"Houston, TX",2041,6,N,145,1,862
23,2020-01-22,WN,WN,WN,530,WN,N7823A,530,13198,MCI,"Kansas City, MO",12339,IND,"Indianapolis, IN",1315,1535,N,80,1,451
24,2020-01-05,UA,UA_CODESHARE,UA,6061,YV,N89317,6061,11278,DCA,"Washington, DC",12266,IAH,"Houston, TX",605,848,N,223,1,1208
25,2020-01-06,WN,WN,WN,468,WN,N444WN,468,12889,LAS,"Las Vegas, NV",12892,LAX,"Los Angeles, CA",1555,1715,N,80,1,236
26,2020-01-17,WN,WN,WN,1173,WN,N738CB,1173,11278,DCA,"Washington, DC",13232,MDW,"Chicago, IL",1915,2025,N,130,1,601
27,2020-01-05,UA,UA,UA,1753,UA,N33266,1753,12889,LAS,"Las Vegas, NV",11292,DEN,"Denver, CO",1510,1802,N,112,1,628
28,2020-01-01,DL,DL_CODESHARE,DL,5936,YX,N235JQ,5936,12953,LGA,"New York, NY",11057,CLT,"Charlotte, NC",1630,1849,N,139,1,544
29,2020-01-26,AA,AA,AA,504,AA,N195UW,504,12889,LAS,"Las Vegas, NV",12892,LAX,"Los Angeles, CA",2005,2124,N,79,1,236
30,2020-01-17,DL,DL,DL,1042,DL,N337NW,1042,10423,AUS,"Austin, TX",14869,SLC,"Salt Lake City, UT",1200,1400,N,180,1,1086
31,2020-01-07,DL,DL_CODESHARE,DL,4278,OO,N8965E,4278,10631,BJI,"Bemidji, MN",13487,MSP,"Minneapolis, MN",1315,1428,N,73,1,199
32,2020-01-17,AA,AA_CODESHARE,AA,4372,YX,N423YX,4372,12953,LGA,"New York, NY",14524,RIC,"Richmond, VA",900,1036,N,96,1,292
33,2020-01-24,AA,AA,AA,702,AA,N195UW,702,11292,DEN,"Denver, CO",11298,DFW,"Dallas/Fort Worth, TX",1940,2233,N,113,1,641
34,2020-01-24,DL,DL_CODESHARE,DL,5963,YX,N809MD,5963,12339,IND,"Indianapolis, IN",10721,BOS,"Boston, MA",1155,1412,N,137,1,818
35,2020-01-28,DL,DL,DL,301,DL,N957AT,301,10397,ATL,"Atlanta, GA",14730,SDF,"Louisville, KY",1647,1805,N,78,1,321
36,2020-01-22,B6,B6,B6,745,B6,N520JB,745,12478,JFK,"New York, NY",14254,PSE,"Ponce, PR",2220,313,N,233,1,1617
37,2020-01-20,AA,AA_CODESHARE,AA,3833,MQ,N822AE,3833,11298,DFW,"Dallas/Fort Worth, TX",14842,SJT,"San Angelo, TX",855,1004,N,69,1,229
38,2020-01-04,AA,AA,AA,2456,AA,N901NN,2456,13930,ORD,"Chicago, IL",12889,LAS,"Las Vegas, NV",1015,1231,N,256,1,1514
39,2020-01-09,UA,UA,UA,1178,UA,N422UA,1178,14771,SFO,"San Francisco, CA",14057,PDX,"Portland, OR",830,1025,N,115,1,550
40,2020-01-26,AS,AS_CODESHARE,AS,3491,OO,N182SY,3491,11638,FAT,"Fresno, CA",14747,SEA,"Seattle, WA",1535,1758,N,143,1,748
