,month,airport,mean_precip_monthly,mean_snow_monthly,mean_wind_monthly,mean_cloud_monthly
0,1,ABE,0.0,1,1.0,2
1,1,ABI,0.0,0,2.0,0
2,1,ABQ,0.0,0,2.0,1
3,1,ABR,0.0,1,3.0,1
4,1,ABY,1.0,0,2.0,1
5,1,ACT,0.0,0,0.0,0
6,1,ACV,1.0,0,1.0,1
7,1,ACY,0.0,0,2.0,2
8,1,ADK,0.0,0,0.0,3
9,1,ADQ,0.0,2,1.0,1
10,1,AEX,1.0,0,1.0,1
11,1,AGS,1.0,0,2.0,1
12,1,ALB,0.0,1,2.0,3
13,1,ALO,0.0,1,2.0,1
14,1,ALW,0.0,2,3.0,2
15,1,AMA,0.0,0,3.0,0
16,1,ANC,0.0,1,1.0,1
17,1,APN,0.0,1,1.0,3
18,1,ART,0.0,2,2.0,3
19,1,ASE,0.0,1,3.0,1
20,1,ATL,1.0,1,2.0,2
21,1,ATW,0.0,1,2.0,2
22,1,AUS,0.0,0,0.0,1
23,1,AVL,1.0,0,2.0,1
24,1,AVP,0.0,1,3.0,3
25,1,AZA,0.0,0,0.0,0
26,1,AZO,0.0,1,3.0,2
27,1,BDL,0.0,0,1.0,3
28,1,BET,0.0,0,2.0,0
29,1,BFL,0.0,0,1.0,0
30,1,BFM,1.0,0,3.0,1
31,1,BGM,0.0,1,2.0,2
32,1,BGR,0.0,1,1.0,3
33,1,BHM,1.0,0,2.0,2
34,1,BIL,0.0,0,3.0,3
35,1,BIS,0.0,1,3.0,1
36,1,BJI,0.0,1,1.0,2
37,1,BLI,1.0,0,3.0,3
38,1,BLV,0.0,0,1.0,0
39,1,BMI,0.0,1,2.0,1
40,1,BNA,1.0,0,0.0,2
41,1,BOI,0.0,0,1.0,1
42,1,BOS,0.0,0,3.0,2
43,1,BPT,1.0,0,0.0,1
44,1,BQK,0.0,0,1.0,0
45,1,BRO,0.0,0,2.0,0
46,1,BRW,0.0,0,0.0,1
47,1,BTM,0.0,1,2.0,2
48,1,BTR,1.0,0,0.0,1
49,1,BTV,0.0,2,2.0,3
50,1,BUF,0.0,1,3.0,3
51,1,BUR,0.0,0,3.0,0
52,1,BWI,0.0,0,2.0,2
53,1,BZN,0.0,1,3.0,1
54,1,CAE,1.0,0,3.0,1
55,1,CAK,0.0,1,2.0,3
56,1,CDC,0.0,1,1.0,0
57,1,CDV,1.0,2,0.0,2
58,1,CGI,0.0,0,2.0,1
59,1,CHA,1.0,0,2.0,2
60,1,CHO,0.0,0,1.0,0
61,1,CHS,0.0,0,2.0,1
62,1,CID,0.0,0,3.0,1
63,1,CIU,0.0,1,2.0,3
64,1,CKB,1.0,0,1.0,3
65,1,CLE,0.0,1,3.0,3
66,1,CLL,0.0,0,0.0,1
67,1,CLT,1.0,1,1.0,1
68,1,CMH,1.0,1,2.0,3
69,1,CMI,0.0,0,3.0,0
70,1,CMX,0.0,1,3.0,3
71,1,COD,0.0,0,3.0,0
72,1,COS,0.0,0,3.0,1
73,1,COU,0.0,0,2.0,0
74,1,CPR,0.0,1,3.0,0
75,1,CRP,0.0,0,1.0,1
76,1,CRW,1.0,0,1.0,3
77,1,CSG,1.0,0,2.0,1
78,1,CVG,1.0,0,2.0,2
79,1,CWA,0.0,1,1.0,2
80,1,DAB,0.0,0,1.0,0
81,1,DAL,0.0,0,2.0,1
82,1,DAY,1.0,0,2.0,3
83,1,DBQ,0.0,1,1.0,1
84,1,DCA,0.0,1,2.0,3
85,1,DEN,0.0,1,3.0,1
86,1,DFW,0.0,0,2.0,2
87,1,DHN,1.0,0,3.0,0
88,1,DIK,0.0,0,3.0,1
89,1,DLH,0.0,0,2.0,3
90,1,DRO,0.0,0,1.0,0
91,1,DSM,0.0,1,3.0,2
92,1,DTW,0.0,0,2.0,3
93,1,EAR,0.0,0,1.0,0
94,1,EAT,0.0,0,3.0,1
95,1,EAU,0.0,1,1.0,2
96,1,ECP,0.0,0,2.0,1
97,1,EGE,0.0,2,3.0,1
98,1,EKO,0.0,2,2.0,1
99,1,ELM,0.0,1,2.0,3
100,1,ELP,0.0,0,3.0,0
101,1,ERI,0.0,1,3.0,2
102,1,ESC,0.0,1,1.0,2
103,1,EUG,0.0,0,2.0,3
104,1,EVV,1.0,0,2.0,1
105,1,EWN,1.0,0,2.0,0
106,1,EWR,0.0,1,3.0,2
107,1,EYW,0.0,0,1.0,0
