,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
0,2018-06-17,WN,WN,WN,5273,WN,N299WN,5273,14492,RDU,"Raleigh/Durham, NC",15304,TPA,"Tampa, FL",1220,1220.0,0.0,16.0,1236.0,1357.0,17.0,1400,1414.0,14.0,0.0,,0.0,N,100.0,114.0,81.0,1.0,587.0,,,,,,,,,
1,2019-02-15,UA,UA_CODESHARE,UA,5421,OO,N787SK,5421,11109,COS,"Colorado Springs, CO",11292,DEN,"Denver, CO",1150,1142.0,-8.0,19.0,1201.0,1220.0,4.0,1242,1224.0,-18.0,0.0,,0.0,N,52.0,42.0,19.0,1.0,73.0,,,,,,,,,
2,2018-01-30,WN,WN,WN,492,WN,N791SW,492,11433,DTW,"Detroit, MI",10821,BWI,"Baltimore, MD",535,529.0,-6.0,30.0,559.0,703.0,2.0,715,705.0,-10.0,0.0,,0.0,N,100.0,96.0,64.0,1.0,409.0,,,,,,,,,
3,2019-01-15,UA,UA,UA,1822,UA,N401UA,1822,11298,DFW,"Dallas/Fort Worth, TX",11292,DEN,"Denver, CO",905,856.0,-9.0,37.0,933.0,1009.0,8.0,1018,1017.0,-1.0,0.0,,0.0,N,133.0,141.0,96.0,1.0,641.0,,,,,,,,,
4,2018-03-26,DL,DL,DL,2149,DL,N374NW,2149,12953,LGA,"New York, NY",13487,MSP,"Minneapolis, MN",1123,1129.0,6.0,37.0,1206.0,1339.0,3.0,1341,1342.0,1.0,0.0,,0.0,N,198.0,193.0,153.0,1.0,1020.0,,,,,,,,,
5,2018-06-13,UA,UA,UA,2422,UA,N16732,2422,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",2000,1957.0,-3.0,46.0,2043.0,2318.0,4.0,2313,2322.0,9.0,0.0,,0.0,N,133.0,145.0,95.0,1.0,733.0,,,,,,,,,
6,2018-01-09,UA,UA_CODESHARE,UA,5319,OO,N119SY,5319,11884,GEG,"Spokane, WA",14771,SFO,"San Francisco, CA",600,554.0,-6.0,26.0,620.0,816.0,8.0,820,824.0,4.0,0.0,,0.0,N,140.0,150.0,116.0,1.0,733.0,,,,,,,,,
7,2018-09-13,AA,AA,AA,1283,AA,N9628W,1283,11298,DFW,"Dallas/Fort Worth, TX",15016,STL,"St. Louis, MO",1700,1704.0,4.0,17.0,1721.0,1839.0,3.0,1840,1842.0,2.0,0.0,,0.0,N,100.0,98.0,78.0,1.0,550.0,,,,,,,,,
8,2019-03-12,WN,WN,WN,2504,WN,N493WN,2504,10821,BWI,"Baltimore, MD",10792,BUF,"Buffalo, NY",1550,1632.0,42.0,15.0,1647.0,1734.0,2.0,1700,1736.0,36.0,0.0,,0.0,N,70.0,64.0,47.0,1.0,281.0,0.0,0.0,0.0,0.0,36.0,,,,
9,2018-10-31,WN,WN,WN,1843,WN,N490WN,1843,11066,CMH,"Columbus, OH",11697,FLL,"Fort Lauderdale, FL",1125,1127.0,2.0,8.0,1135.0,1353.0,3.0,1405,1356.0,-9.0,0.0,,0.0,N,160.0,149.0,138.0,1.0,973.0,,,,,,,,,
